Date;Regular80_RUB;Diesel_RUB;Regular92_RUB;Super95_RUB;Super98_RUB;Regular80_EUR;Diesel_EUR;Regular92_EUR;Super95_EUR;Super98_EUR
12/01/2015;30.16;34.43;32.34;35.12;;0.441;0.504;0.473;0.514;
19/01/2015;30.16;34.48;32.32;35.11;;0.398;0.455;0.426;0.463;
26/01/2015;30.18;34.44;32.26;35.08;;0.42;0.479;0.449;0.488;
02/02/2015;30.7;34.31;32.21;35.05;;0.393;0.439;0.412;0.449;
09/02/2015;30.69;34.19;32.14;35.02;;0.406;0.452;0.425;0.463;
16/02/2015;30.7;34.16;32.12;35.0;;0.413;0.459;0.432;0.471;
23/02/2015;30.71;34.13;32.08;34.97;;0.439;0.487;0.458;0.499;
02/03/2015;30.7;34.13;32.06;34.96;;0.447;0.497;0.467;0.509;
09/03/2015;30.79;34.11;32.08;34.98;;0.466;0.516;0.485;0.529;
16/03/2015;30.79;34.14;32.09;34.99;;0.474;0.526;0.494;0.539;
23/03/2015;30.79;34.16;32.1;34.99;;0.481;0.533;0.501;0.546;
30/03/2015;30.8;34.22;32.12;35.0;;0.492;0.547;0.513;0.559;
06/04/2015;30.8;34.29;32.14;35.01;;0.499;0.555;0.521;0.567;
13/04/2015;30.81;34.34;32.15;35.05;;0.568;0.633;0.592;0.646;
20/04/2015;30.83;34.37;32.16;35.06;;0.566;0.63;0.59;0.643;
27/04/2015;30.83;34.37;32.17;35.07;;0.564;0.629;0.589;0.642;
04/05/2015;30.85;34.36;32.18;35.07;;0.54;0.601;0.563;0.614;
11/05/2015;30.85;34.36;32.17;35.07;;0.542;0.604;0.565;0.616;
18/05/2015;30.84;34.35;32.17;35.06;;0.541;0.603;0.565;0.615;
25/05/2015;30.85;34.36;32.18;35.06;;0.555;0.619;0.579;0.631;
01/06/2015;30.84;34.36;32.19;35.07;;0.532;0.592;0.555;0.605;
08/06/2015;30.86;34.39;32.24;35.11;;0.487;0.543;0.509;0.554;
15/06/2015;30.9;34.42;32.36;35.22;;0.503;0.56;0.526;0.573;
22/06/2015;30.91;34.47;32.48;35.32;;0.507;0.566;0.533;0.58;
29/06/2015;30.96;34.5;32.62;35.48;;0.504;0.562;0.531;0.578;
06/07/2015;31.15;34.57;32.91;35.72;;0.504;0.56;0.533;0.578;
13/07/2015;31.26;34.6;33.15;35.99;;0.497;0.55;0.527;0.572;
20/07/2015;31.33;34.62;33.3;36.13;;0.506;0.559;0.538;0.584;
27/07/2015;31.43;34.64;33.44;36.23;;0.494;0.545;0.526;0.57;
03/08/2015;31.53;34.66;33.59;36.39;;0.478;0.525;0.509;0.551;
10/08/2015;31.59;34.67;33.7;36.48;;0.453;0.497;0.483;0.523;
17/08/2015;31.69;34.7;33.84;36.64;;0.438;0.48;0.468;0.506;
24/08/2015;31.74;34.71;33.94;36.76;;0.414;0.453;0.443;0.479;
31/08/2015;31.78;34.71;34.05;36.86;;0.423;0.463;0.454;0.491;
07/09/2015;31.83;34.72;34.13;36.93;;0.422;0.46;0.453;0.49;
14/09/2015;31.87;34.73;34.19;36.99;;0.415;0.452;0.445;0.482;
21/09/2015;31.91;34.72;34.25;37.05;;0.426;0.463;0.457;0.494;
28/09/2015;31.95;34.73;34.27;37.07;;0.437;0.475;0.469;0.507;
05/10/2015;32.0;34.72;34.3;37.1;;0.435;0.472;0.466;0.504;
12/10/2015;32.06;34.73;34.32;37.12;;0.462;0.501;0.495;0.535;
19/10/2015;32.08;34.76;34.34;37.14;;0.46;0.498;0.492;0.532;
26/10/2015;32.16;34.82;34.35;37.14;;0.468;0.506;0.499;0.54;
02/11/2015;32.19;34.9;34.35;37.14;;0.455;0.493;0.485;0.525;
09/11/2015;32.22;35.04;34.33;37.13;;0.465;0.506;0.496;0.536;
16/11/2015;32.21;35.25;34.32;37.13;;0.448;0.491;0.478;0.517;
23/11/2015;32.21;35.39;34.31;37.12;;0.464;0.51;0.494;0.535;
30/11/2015;32.22;35.42;34.29;37.11;;0.458;0.503;0.487;0.527;
